"jobTitle","skill","countVal"
" Data Scientist","C",0
" Data Scientist","Clojure",0
" Data Scientist","D3",0
" Data Scientist","F.",0
" Data Scientist","Fortran",0
" Data Scientist","Golang",0
" Data Scientist","Hadoop",0
" Data Scientist","Haskell",0
" Data Scientist","Java",0
" Data Scientist","Javascript",0
" Data Scientist","Julia",0
" Data Scientist","Knime",0
" Data Scientist","Lisp",0
" Data Scientist","Matlab",6
" Data Scientist","Minitab",0
" Data Scientist","Python",7
" Data Scientist","R",8
" Data Scientist","Ruby",0
" Data Scientist","SAS",6
" Data Scientist","Scala",1
" Data Scientist","Spark",1
" Data Scientist","SPSS",0
" Data Scientist","SQL",8
" Data Scientist","Stata",0
" Data Scientist","Tableau",2
" Data Scientist ","C",0
" Data Scientist ","Clojure",0
" Data Scientist ","D3",0
" Data Scientist ","F.",0
" Data Scientist ","Fortran",0
" Data Scientist ","Golang",0
" Data Scientist ","Hadoop",0
" Data Scientist ","Haskell",0
" Data Scientist ","Java",0
" Data Scientist ","Javascript",0
" Data Scientist ","Julia",0
" Data Scientist ","Knime",0
" Data Scientist ","Lisp",0
" Data Scientist ","Matlab",0
" Data Scientist ","Minitab",0
" Data Scientist ","Python",1
" Data Scientist ","R",1
" Data Scientist ","Ruby",0
" Data Scientist ","SAS",0
" Data Scientist ","Scala",0
" Data Scientist ","Spark",0
" Data Scientist ","SPSS",0
" Data Scientist ","SQL",1
" Data Scientist ","Stata",0
" Data Scientist ","Tableau",1
" Principal Consultant - Data / ML","C",0
" Principal Consultant - Data / ML","Clojure",0
" Principal Consultant - Data / ML","D3",0
" Principal Consultant - Data / ML","F.",0
" Principal Consultant - Data / ML","Fortran",0
" Principal Consultant - Data / ML","Golang",0
" Principal Consultant - Data / ML","Hadoop",1
" Principal Consultant - Data / ML","Haskell",0
" Principal Consultant - Data / ML","Java",1
" Principal Consultant - Data / ML","Javascript",0
" Principal Consultant - Data / ML","Julia",0
" Principal Consultant - Data / ML","Knime",0
" Principal Consultant - Data / ML","Lisp",0
" Principal Consultant - Data / ML","Matlab",1
" Principal Consultant - Data / ML","Minitab",0
" Principal Consultant - Data / ML","Python",1
" Principal Consultant - Data / ML","R",0
" Principal Consultant - Data / ML","Ruby",0
" Principal Consultant - Data / ML","SAS",1
" Principal Consultant - Data / ML","Scala",0
" Principal Consultant - Data / ML","Spark",0
" Principal Consultant - Data / ML","SPSS",0
" Principal Consultant - Data / ML","SQL",1
" Principal Consultant - Data / ML","Stata",0
" Principal Consultant - Data / ML","Tableau",1
"(Graduate) Cloud Platform Engineer","C",0
"(Graduate) Cloud Platform Engineer","Clojure",0
"(Graduate) Cloud Platform Engineer","D3",0
"(Graduate) Cloud Platform Engineer","F.",0
"(Graduate) Cloud Platform Engineer","Fortran",0
"(Graduate) Cloud Platform Engineer","Golang",0
"(Graduate) Cloud Platform Engineer","Hadoop",0
"(Graduate) Cloud Platform Engineer","Haskell",0
"(Graduate) Cloud Platform Engineer","Java",1
"(Graduate) Cloud Platform Engineer","Javascript",0
"(Graduate) Cloud Platform Engineer","Julia",0
"(Graduate) Cloud Platform Engineer","Knime",0
"(Graduate) Cloud Platform Engineer","Lisp",0
"(Graduate) Cloud Platform Engineer","Matlab",0
"(Graduate) Cloud Platform Engineer","Minitab",0
"(Graduate) Cloud Platform Engineer","Python",1
"(Graduate) Cloud Platform Engineer","R",1
"(Graduate) Cloud Platform Engineer","Ruby",0
"(Graduate) Cloud Platform Engineer","SAS",0
"(Graduate) Cloud Platform Engineer","Scala",1
"(Graduate) Cloud Platform Engineer","Spark",0
"(Graduate) Cloud Platform Engineer","SPSS",0
"(Graduate) Cloud Platform Engineer","SQL",0
"(Graduate) Cloud Platform Engineer","Stata",0
"(Graduate) Cloud Platform Engineer","Tableau",0
"*** Senior Front End Developer - REACT ***","C",0
"*** Senior Front End Developer - REACT ***","Clojure",0
"*** Senior Front End Developer - REACT ***","D3",0
"*** Senior Front End Developer - REACT ***","F.",0
"*** Senior Front End Developer - REACT ***","Fortran",0
"*** Senior Front End Developer - REACT ***","Golang",0
"*** Senior Front End Developer - REACT ***","Hadoop",0
"*** Senior Front End Developer - REACT ***","Haskell",0
"*** Senior Front End Developer - REACT ***","Java",1
"*** Senior Front End Developer - REACT ***","Javascript",1
"*** Senior Front End Developer - REACT ***","Julia",0
"*** Senior Front End Developer - REACT ***","Knime",0
"*** Senior Front End Developer - REACT ***","Lisp",0
"*** Senior Front End Developer - REACT ***","Matlab",0
"*** Senior Front End Developer - REACT ***","Minitab",0
"*** Senior Front End Developer - REACT ***","Python",0
"*** Senior Front End Developer - REACT ***","R",0
"*** Senior Front End Developer - REACT ***","Ruby",0
"*** Senior Front End Developer - REACT ***","SAS",0
"*** Senior Front End Developer - REACT ***","Scala",0
"*** Senior Front End Developer - REACT ***","Spark",0
"*** Senior Front End Developer - REACT ***","SPSS",0
"*** Senior Front End Developer - REACT ***","SQL",0
"*** Senior Front End Developer - REACT ***","Stata",0
"*** Senior Front End Developer - REACT ***","Tableau",0
"*** Senior Front End REACT Developer ***","C",0
"*** Senior Front End REACT Developer ***","Clojure",0
"*** Senior Front End REACT Developer ***","D3",0
"*** Senior Front End REACT Developer ***","F.",0
"*** Senior Front End REACT Developer ***","Fortran",0
"*** Senior Front End REACT Developer ***","Golang",0
"*** Senior Front End REACT Developer ***","Hadoop",0
"*** Senior Front End REACT Developer ***","Haskell",0
"*** Senior Front End REACT Developer ***","Java",1
"*** Senior Front End REACT Developer ***","Javascript",1
"*** Senior Front End REACT Developer ***","Julia",0
"*** Senior Front End REACT Developer ***","Knime",0
"*** Senior Front End REACT Developer ***","Lisp",0
"*** Senior Front End REACT Developer ***","Matlab",0
"*** Senior Front End REACT Developer ***","Minitab",0
"*** Senior Front End REACT Developer ***","Python",0
"*** Senior Front End REACT Developer ***","R",0
"*** Senior Front End REACT Developer ***","Ruby",0
"*** Senior Front End REACT Developer ***","SAS",0
"*** Senior Front End REACT Developer ***","Scala",0
"*** Senior Front End REACT Developer ***","Spark",0
"*** Senior Front End REACT Developer ***","SPSS",0
"*** Senior Front End REACT Developer ***","SQL",0
"*** Senior Front End REACT Developer ***","Stata",0
"*** Senior Front End REACT Developer ***","Tableau",0
": Data Analystics Consultants - Across Australia","C",0
": Data Analystics Consultants - Across Australia","Clojure",0
": Data Analystics Consultants - Across Australia","D3",0
": Data Analystics Consultants - Across Australia","F.",0
": Data Analystics Consultants - Across Australia","Fortran",0
": Data Analystics Consultants - Across Australia","Golang",0
": Data Analystics Consultants - Across Australia","Hadoop",1
": Data Analystics Consultants - Across Australia","Haskell",0
": Data Analystics Consultants - Across Australia","Java",1
": Data Analystics Consultants - Across Australia","Javascript",0
": Data Analystics Consultants - Across Australia","Julia",0
": Data Analystics Consultants - Across Australia","Knime",0
": Data Analystics Consultants - Across Australia","Lisp",0
": Data Analystics Consultants - Across Australia","Matlab",0
": Data Analystics Consultants - Across Australia","Minitab",0
": Data Analystics Consultants - Across Australia","Python",1
": Data Analystics Consultants - Across Australia","R",0
": Data Analystics Consultants - Across Australia","Ruby",0
": Data Analystics Consultants - Across Australia","SAS",1
": Data Analystics Consultants - Across Australia","Scala",1
": Data Analystics Consultants - Across Australia","Spark",1
": Data Analystics Consultants - Across Australia","SPSS",0
": Data Analystics Consultants - Across Australia","SQL",1
": Data Analystics Consultants - Across Australia","Stata",0
": Data Analystics Consultants - Across Australia","Tableau",1
": Infrastructure Engineer/Admin","C",0
